,brand,country,latitude,longitude,level_1_category,level_2_category,level_3_category,provider,price,timezone,total_sales,categories,postal_code,store_code,label,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60
1,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,Unknown,74.99,Unknown,0,"['Unknown', 'Unknown', 'Unknown']",0,873013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,Unknown,74.99,Unknown,4,"['Unknown', 'Unknown', 'Unknown']",0,873014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,77271771980611499,US,35.975116,-80.017765,"Level 1 category Food,Beverages&Tobacco",Level 2 category FoodItems,"Level 3 category Grains,Rice&Cereal",Pointy,9.99,America/New_York,0,"['Level 1 category Food,Beverages&Tobacco', 'Level 2 category FoodItems', 'Level 3 category Grains,Rice&Cereal']",27262,5.30586E+15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5360004662571607102,US,34.784395,-86.948761,Level 1 category Electronics,Level 2 category ElectronicsAccessories,Level 3 category Antennas,Pointy,99.99,America/Chicago,0,"['Level 1 category Electronics', 'Level 2 category ElectronicsAccessories', 'Level 3 category Antennas']",35611,5635714893217792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,Unknown,74.99,Unknown,1,"['Unknown', 'Unknown', 'Unknown']",0,873013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,77271771980611499,US,35.975116,-80.017765,"Level 1 category Food,Beverages&Tobacco",Level 2 category FoodItems,"Level 3 category Grains,Rice&Cereal",Pointy,9.99,America/New_York,0,"['Level 1 category Food,Beverages&Tobacco', 'Level 2 category FoodItems', 'Level 3 category Grains,Rice&Cereal']",27262,5.30586E+15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5360004662571607102,US,34.784395,-86.948761,Level 1 category Electronics,Level 2 category ElectronicsAccessories,Level 3 category Antennas,Pointy,99.99,America/Chicago,0,"['Level 1 category Electronics', 'Level 2 category ElectronicsAccessories', 'Level 3 category Antennas']",35611,5635714893217792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,Unknown,70,Unknown,1,"['Unknown', 'Unknown', 'Unknown']",0,873011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5360004662571607102,US,34.784395,-86.948761,Level 1 category Electronics,Level 2 category ElectronicsAccessories,Level 3 category Antennas,Pointy,99.99,America/Chicago,0,"['Level 1 category Electronics', 'Level 2 category ElectronicsAccessories', 'Level 3 category Antennas']",35611,5635714893217792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,Unknown,9.95,Unknown,4,"['Unknown', 'Unknown', 'Unknown']",0,873014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,5360004662571607102,US,34.784395,-86.948761,Level 1 category Electronics,Level 2 category ElectronicsAccessories,Level 3 category Antennas,Pointy,99.99,America/Chicago,0,"['Level 1 category Electronics', 'Level 2 category ElectronicsAccessories', 'Level 3 category Antennas']",35611,5635714893217792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5360004662571607102,US,34.784395,-86.948761,Level 1 category Electronics,Level 2 category ElectronicsAccessories,Level 3 category Antennas,Pointy,99.99,America/Chicago,0,"['Level 1 category Electronics', 'Level 2 category ElectronicsAccessories', 'Level 3 category Antennas']",35611,5635714893217792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
